# phi psi FES dF/dphi dF/dpsi
1.382300768000029434e+00 -3.141592653999969009e+00 9.380823024528638143e+00 8.981268941104977088e+00 -1.544869923908996912e+00
1.445132621000018824e+00 -3.141592653999969009e+00 9.973980580593625689e+00 9.838641323989017806e+00 -1.662905111260017721e+00
1.507964473999968025e+00 -3.141592653999969009e+00 1.061022316353370343e+01 1.035369211255097710e+01 -1.820980765267994128e+00
1.570796326999984505e+00 -3.141592653999969009e+00 1.126792989049373261e+01 1.055201421844400755e+01 -1.883983762137001694e+00
1.633628179999974339e+00 -3.141592653999969009e+00 1.192751163300542316e+01 1.040416555327600712e+01 -1.888197807754000479e+00
1.696460032999994372e+00 -3.141592653999969009e+00 1.257024249866208265e+01 1.002975769516501536e+01 -1.771240773896000098e+00
1.759291886000024174e+00 -3.141592653999969009e+00 1.318481208095371215e+01 9.468640109906953484e+00 -1.542444104607997746e+00
1.822123739000014231e+00 -3.141592653999969009e+00 1.375708176365728974e+01 8.692977607878995983e+00 -1.261533357364994723e+00
1.884955592000037816e+00 -3.141592653999969009e+00 1.427421727391266870e+01 7.702299425767977326e+00 -9.134353073829966085e-01
1.947787444999960371e+00 -3.141592653999969009e+00 1.471835157169667241e+01 6.445248861191008594e+00 -5.529562468039975753e-01
2.010619297999981292e+00 -3.141592653999969009e+00 1.507256886813551233e+01 4.747714262567000354e+00 -1.835968424309989411e-01
2.073451150999975567e+00 -3.141592653999969009e+00 1.530830261658294944e+01 2.699923298210988865e+00 1.933607817370011361e-01
2.136283003999996488e+00 -3.141592653999969009e+00 1.540197092643690979e+01 2.840724601039988362e-01 6.180502354910062390e-01
2.199114858000019712e+00 -3.141592653999969009e+00 1.533796638464821172e+01 -2.344211225031998413e+00 9.897971867709992599e-01
2.261946711000003774e+00 -3.141592653999969009e+00 1.510604440472295096e+01 -5.037871045549035642e+00 1.338470552402999836e+00
2.324778564000050451e+00 -3.141592653999969009e+00 1.471041391592192582e+01 -7.497173050199986477e+00 1.665918650901994980e+00
2.387610416999951468e+00 -3.141592653999969009e+00 1.417452809313125073e+01 -9.505013726498034998e+00 1.974658492323994263e+00
2.450442270000012801e+00 -3.141592653999969009e+00 1.352266150335780281e+01 -1.115930873226400344e+01 2.239349530548001788e+00
2.513274122999976878e+00 -3.141592653999969009e+00 1.278286465418287321e+01 -1.235198927559908277e+01 2.459725843909005061e+00
2.576105975999960940e+00 -3.141592653999969009e+00 1.197535254497869772e+01 -1.331907754841100200e+01 2.635750507734005765e+00
2.638937829000033375e+00 -3.141592653999969009e+00 1.111229312751662945e+01 -1.411876911374904253e+01 2.781220238235027065e+00
2.701769681999986794e+00 -3.141592653999969009e+00 1.020666003590667259e+01 -1.473725927161190263e+01 2.929391602434995079e+00
2.764601535000068555e+00 -3.141592653999969009e+00 9.265476486438906534e+00 -1.524394361808097287e+01 3.098209775120019938e+00
2.827433387999951364e+00 -3.141592653999969009e+00 8.295461064173878185e+00 -1.561364269810185412e+01 3.239337142432015870e+00
2.890265241000027796e+00 -3.141592653999969009e+00 7.308639687223539738e+00 -1.574929576777900131e+01 3.316108270600996555e+00
2.953097093999986988e+00 -3.141592653999969009e+00 6.324996037876580601e+00 -1.546404065587600130e+01 3.375450532067009402e+00
3.015928946999945293e+00 -3.141592653999969009e+00 5.374080043468751455e+00 -1.472375483114404915e+01 3.381782671891991665e+00
3.078760801000035130e+00 -3.141592653999969009e+00 4.485757228337874380e+00 -1.346207465747002807e+01 3.345169719731990732e+00
-3.141592653999969009e+00 -3.078760801000035130e+00 3.921606971925506002e+00 -1.186716773565696670e+01 4.097082806058009119e+00
-3.078760801000035130e+00 -3.078760801000035130e+00 3.233265409529082035e+00 -1.005141094873300034e+01 4.081865025273013536e+00
-3.015928946999945293e+00 -3.078760801000035130e+00 2.658220284553365786e+00 -8.261625839711991048e+00 4.033414125142992468e+00
-2.953097093999986988e+00 -3.078760801000035130e+00 2.193961944893921157e+00 -6.554492887205964458e+00 4.002744159142990199e+00
-2.890265241000027796e+00 -3.078760801000035130e+00 1.830592337927463120e+00 -5.031015722233998844e+00 3.956312735395999258e+00
-2.827433387999951364e+00 -3.078760801000035130e+00 1.556556635379934050e+00 -3.733451388001985283e+00 3.978373318759001798e+00
-2.764601535000068555e+00 -3.078760801000035130e+00 1.362811678691393524e+00 -2.454604730798993995e+00 4.058656353457014809e+00
-2.701769681999986794e+00 -3.078760801000035130e+00 1.246844820331347137e+00 -1.198744016829009995e+00 4.290503662831014253e+00
-2.638937829000033375e+00 -3.078760801000035130e+00 1.212907171801873574e+00 8.472996442699969044e-02 4.572209980147983188e+00
-2.576105975999960940e+00 -3.078760801000035130e+00 1.259646847530525804e+00 1.352629515687005402e+00 4.901678494318995938e+00
-2.513274122999976878e+00 -3.078760801000035130e+00 1.378356256898982224e+00 2.406859096794980779e+00 5.275469906311989199e+00
-2.450442270000012801e+00 -3.078760801000035130e+00 1.552960065196877792e+00 3.075453692459009680e+00 5.590389368886976129e+00
-2.387610416999951468e+00 -3.078760801000035130e+00 1.758771931897769036e+00 3.431983608522009899e+00 5.799953622442991730e+00
-2.324778564000050451e+00 -3.078760801000035130e+00 1.976263200756619653e+00 3.448239093370996766e+00 5.885600653410982375e+00
-2.261946711000003774e+00 -3.078760801000035130e+00 2.187578460323088336e+00 3.262905825399005089e+00 5.871798839332002196e+00
-2.199114858000019712e+00 -3.078760801000035130e+00 2.387129666171688314e+00 3.118548075777982209e+00 5.798298018609022719e+00
-2.136283003999996488e+00 -3.078760801000035130e+00 2.575566858273695914e+00 2.870095630615010052e+00 5.715765731816969009e+00
-2.073451150999975567e+00 -3.078760801000035130e+00 2.750419381353935933e+00 2.699000160159974460e+00 5.610990853947000367e+00
-2.010619297999981292e+00 -3.078760801000035130e+00 2.916595722588944284e+00 2.589488820709993977e+00 5.524541114880953785e+00
-1.947787444999960371e+00 -3.078760801000035130e+00 3.076542455333019177e+00 2.512718469267002153e+00 5.472766994168984489e+00
-1.884955592000037816e+00 -3.078760801000035130e+00 3.232921586990919138e+00 2.469798826011023962e+00 5.404918217613024822e+00
-1.822123739000014231e+00 -3.078760801000035130e+00 3.386630265637791126e+00 2.412055148145997752e+00 5.259637187476005060e+00
-1.759291886000024174e+00 -3.078760801000035130e+00 3.537057371087627189e+00 2.351735522477993889e+00 5.180105340538983860e+00
-1.696460032999994372e+00 -3.078760801000035130e+00 3.682518378884147126e+00 2.275341323869007226e+00 5.127103788423014841e+00
-1.633628179999974339e+00 -3.078760801000035130e+00 3.821860330180641085e+00 2.161315152393007644e+00 5.067422767320004517e+00
-1.570796326999984505e+00 -3.078760801000035130e+00 3.958207594465015688e+00 2.124551050801005925e+00 5.098916104062985788e+00
-1.507964473999968025e+00 -3.078760801000035130e+00 4.092612997290885346e+00 2.184057886173000451e+00 5.131135732391009618e+00
-1.445132621000018824e+00 -3.078760801000035130e+00 4.235876056042933158e+00 2.408098051952009211e+00 5.287604752396008578e+00
-1.382300768000029434e+00 -3.078760801000035130e+00 4.399976787916756393e+00 2.863600676382000110e+00 5.557528838663977844e+00
-1.319468915000011622e+00 -3.078760801000035130e+00 4.603484995950864800e+00 3.652177155546985077e+00 5.879142513695021499e+00
-1.256637060999993283e+00 -3.078760801000035130e+00 4.864857762992912171e+00 4.699851293787013162e+00 6.335479993383969166e+00
-1.193805207999977691e+00 -3.078760801000035130e+00 5.198229726371948800e+00 5.952363248548993901e+00 6.927927735120003483e+00
-1.130973355000006064e+00 -3.078760801000035130e+00 5.614601129713832961e+00 7.335845856981976887e+00 7.645885502961057512e+00
-1.068141501999998244e+00 -3.078760801000035130e+00 6.127273374732894240e+00 8.981659988421959895e+00 8.427994151530956657e+00
-1.005309648999990646e+00 -3.078760801000035130e+00 6.749584077811270788e+00 1.085736684288906773e+01 9.212035049307083057e+00
-9.424777960000189081e-01 -3.078760801000035130e+00 7.493657098669913807e+00 1.281364758436202145e+01 9.942498024297011128e+00
-8.796459430000120872e-01 -3.078760801000035130e+00 8.358560915593763241e+00 1.469343602460597609e+01 1.056285000724500556e+01
-8.168140899999871696e-01 -3.078760801000035130e+00 9.336551628915884748e+00 1.639248154606710983e+01 1.114134180162192678e+01
-7.539822369999840124e-01 -3.078760801000035130e+00 1.041190129150382404e+01 1.776825229322900057e+01 1.167879423407899075e+01
-6.911503840000147170e-01 -3.078760801000035130e+00 1.156149703817483498e+01 1.875835305769397721e+01 1.222094208962198358e+01
-6.283185309999932411e-01 -3.078760801000035130e+00 1.276107269259896526e+01 1.941280919296905694e+01 1.293651546730305135e+01
-5.654866780000047388e-01 -3.078760801000035130e+00 1.399119661016683125e+01 1.973757633289591595e+01 1.369089248536306336e+01
-5.026548249999909235e-01 -3.078760801000035130e+00 1.523758984765054691e+01 1.991574597080813902e+01 1.446056940416500147e+01
-4.398229720000016441e-01 -3.078760801000035130e+00 1.649028314386795557e+01 1.991992943909097136e+01 1.513193547345688827e+01
-3.769911179999962392e-01 -3.078760801000035130e+00 1.773176325146505405e+01 1.953695654063997367e+01 1.549547848405509320e+01
-3.141592650000006315e-01 -3.078760801000035130e+00 1.893118078973678564e+01 1.852673674561702200e+01 1.531562235463896648e+01
-2.513274119999963641e-01 -3.078760801000035130e+00 2.003971071854106611e+01 1.656644989653402433e+01 1.431207916824787851e+01
-1.884955589999981196e-01 -3.078760801000035130e+00 2.098601494153175651e+01 1.333331936524803218e+01 1.247001069652000282e+01
-1.256637059999981820e-01 -3.078760801000035130e+00 2.168636929902277899e+01 8.771966035854037003e+00 9.709062725910007075e+00
-6.283185299999909101e-02 -3.078760801000035130e+00 2.206432563867909380e+01 3.108868143490021829e+00 6.266931994658956562e+00
0.000000000000000000e+00 -3.078760801000035130e+00 2.206931537560171819e+01 -2.999503047554014312e+00 2.450249283705009606e+00
6.283185299999909101e-02 -3.078760801000035130e+00 2.169045149085086877e+01 -8.971147908731021303e+00 -1.316979951428999041e+00
1.256637059999981820e-01 -3.078760801000035130e+00 2.095902838750381392e+01 -1.414632713999695213e+01 -4.591181491320009300e+00
1.884955589999981196e-01 -3.078760801000035130e+00 1.993876431108189706e+01 -1.810847715436592509e+01 -7.079212046818025073e+00
2.513274119999963641e-01 -3.078760801000035130e+00 1.871715559187898492e+01 -2.052986197396993262e+01 -8.656756936782938894e+00
3.141592650000006315e-01 -3.078760801000035130e+00 1.738921759210188611e+01 -2.156195526622287062e+01 -9.310404952080013175e+00
3.769911179999962392e-01 -3.078760801000035130e+00 1.603342961860791860e+01 -2.142927920959508370e+01 -9.154264629274988962e+00
4.398229720000016441e-01 -3.078760801000035130e+00 1.471351111104613807e+01 -2.051901313322911236e+01 -8.477291701370001320e+00
5.026548249999909235e-01 -3.078760801000035130e+00 1.346517268519996691e+01 -1.913909035510989298e+01 -7.611294718528964331e+00
5.654866780000047388e-01 -3.078760801000035130e+00 1.231089397952492703e+01 -1.759108885029392866e+01 -6.749432417021984598e+00
6.283185309999932411e-01 -3.078760801000035130e+00 1.125921996804988368e+01 -1.583634291401907213e+01 -6.047729130821981158e+00
6.911503840000147170e-01 -3.078760801000035130e+00 1.032135449815159234e+01 -1.397728660518002997e+01 -5.565881344623991644e+00
7.539822369999840124e-01 -3.078760801000035130e+00 9.506329280717210395e+00 -1.193775789752090866e+01 -5.199303874086015576e+00
8.168140899999871696e-01 -3.078760801000035130e+00 8.824484511491839100e+00 -9.735351079739050562e+00 -4.910960204268992157e+00
8.796459430000120872e-01 -3.078760801000035130e+00 8.286707781817959528e+00 -7.341541031827988562e+00 -4.546676059808994808e+00
9.424777960000189081e-01 -3.078760801000035130e+00 7.906667099277903787e+00 -4.724682207397044031e+00 -4.072190753436986554e+00
1.005309648999990646e+00 -3.078760801000035130e+00 7.691869095734240602e+00 -2.130408691815007138e+00 -3.487354626465990481e+00
1.068141501999998244e+00 -3.078760801000035130e+00 7.638193205611003123e+00 3.806079123320010860e-01 -2.807942494561979530e+00
1.130973355000006064e+00 -3.078760801000035130e+00 7.736118665251645155e+00 2.690822591446002665e+00 -2.128667251437003305e+00
1.193805207999977691e+00 -3.078760801000035130e+00 7.972053696663941480e+00 4.755398436633968551e+00 -1.597598490251002534e+00
1.256637060999993283e+00 -3.078760801000035130e+00 8.324121407321712240e+00 6.421016297650973037e+00 -1.198959641636001328e+00
1.319468915000011622e+00 -3.078760801000035130e+00 8.773073722111227823e+00 7.809332560661000677e+00 -1.014655175620011729e+00
1.382300768000029434e+00 -3.078760801000035130e+00 9.299857741407436151e+00 8.901001029402996423e+00 -1.022029921948996112e+00
1.445132621000018824e+00 -3.078760801000035130e+00 9.884297124892754027e+00 9.659078159794940888e+00 -1.162519906956992255e+00
